年齡,工作,婚姻,學歷,連絡方式,最後聯絡時間,聯絡次數,消費價格指數,消費信心指數,訂購
27.0,家管,單身,小學,市話,495.0,10,85.613,0.3,一次
52.0,主管,單身,大學,手機,686.0,12,67.345,11.3,從未
45.0,無業,未知,高中,市話,117.0,2,61.671,-49.4,從未
52.0,技術員,已婚,小學,手機,990.0,7,74.233,16.4,偶爾
69.0,經理,單身,大學,手機,517.0,11,97.746,-24.4,從未
66.0,家管,離婚,博士,市話,256.0,8,67.150,-14.7,一次
64.0,家管,未知,高職,市話,866.0,7,79.668,-5.5,從未
67.0,家管,單身,國中,市話,138.0,7,63.932,17.6,一次
46.0,藍領,已婚,高職,手機,680.0,8,76.371,28.1,頻繁
32.0,經理,未知,小學,市話,362.0,1,84.413,13.4,頻繁
44.0,企業家,單身,大學,手機,263.0,12,83.884,-10.3,一次
61.0,學生,已婚,博士,手機,521.0,3,79.846,-40.2,從未
65.0,技術員,單身,小學,市話,254.0,4,99.716,-11.3,偶爾
49.0,企業家,未知,大學,市話,297.0,3,86.655,38.0,從未
46.0,藍領,已婚,高職,手機,291.0,2,88.383,-36.6,從未
56.0,經理,單身,高職,手機,246.0,4,98.369,-4.6,一次
53.0,無業,未知,專科,手機,942.0,11,97.727,-43.8,偶爾
37.0,技術員,單身,小學,市話,323.0,12,96.852,40.9,頻繁
33.0,自僱人士,離婚,高職,手機,76.0,2,72.760,31.9,偶爾
24.0,無業,已婚,高職,市話,704.0,5,62.630,-16.8,一次
24.0,服務業,離婚,大學,手機,872.0,3,76.992,35.4,一次
39.0,未知,未知,高職,手機,936.0,1,71.459,-12.7,偶爾
46.0,無業,已婚,高職,市話,708.0,9,79.451,20.5,偶爾
65.0,技術員,未知,專科,手機,789.0,12,83.126,16.1,從未
22.0,主管,未知,高職,手機,863.0,5,98.265,16.2,從未
53.0,藍領,離婚,國中,市話,621.0,8,77.312,-40.0,一次
49.0,技術員,單身,高職,手機,260.0,9,68.801,-46.5,一次
20.0,主管,單身,國中,手機,711.0,12,94.246,7.5,頻繁
69.0,藍領,單身,國中,市話,232.0,7,76.593,49.9,偶爾
33.0,家管,單身,大學,市話,129.0,10,94.640,28.5,頻繁
33.0,退休,單身,專科,市話,79.0,12,73.925,-44.4,一次
27.0,自僱人士,單身,國中,市話,795.0,1,69.239,34.9,一次
54.0,退休,單身,國中,手機,936.0,10,85.943,-49.0,偶爾
55.0,主管,離婚,國中,手機,739.0,9,84.393,-41.5,偶爾
53.0,退休,單身,國中,市話,648.0,9,69.946,34.1,一次
28.0,藍領,未知,專科,市話,866.0,6,92.799,-35.1,頻繁
20.0,經理,離婚,國中,市話,178.0,10,73.414,-43.2,頻繁
66.0,退休,未知,小學,手機,245.0,3,90.309,-14.6,從未
24.0,學生,離婚,小學,市話,724.0,3,75.986,26.9,一次
41.0,服務業,離婚,大學,手機,749.0,1,68.262,27.1,偶爾
43.0,未知,離婚,博士,手機,571.0,2,82.489,28.8,一次
27.0,未知,離婚,專科,市話,300.0,6,99.632,-36.4,偶爾
61.0,技術員,單身,小學,手機,634.0,6,63.313,8.0,偶爾
28.0,學生,已婚,博士,手機,122.0,3,75.551,-40.9,偶爾
64.0,退休,單身,國中,市話,427.0,2,90.512,-31.1,頻繁
28.0,藍領,單身,小學,市話,228.0,1,81.125,-43.1,從未
67.0,藍領,未知,大學,市話,477.0,7,89.343,39.6,頻繁
44.0,家管,已婚,博士,手機,737.0,10,76.317,21.1,一次
59.0,退休,離婚,高中,市話,710.0,12,62.414,-47.3,從未
55.0,經理,離婚,大學,市話,561.0,1,94.966,-47.4,偶爾
30.0,無業,未知,大學,市話,162.0,12,74.734,46.5,偶爾
63.0,經理,單身,小學,手機,55.0,3,64.353,-35.2,一次
43.0,學生,已婚,大學,手機,249.0,4,90.947,-45.6,偶爾
56.0,自僱人士,已婚,國中,手機,114.0,9,66.387,-32.1,頻繁
41.0,技術員,未知,國中,手機,586.0,9,69.609,-29.2,從未
31.0,退休,已婚,專科,手機,547.0,12,82.197,48.1,偶爾
68.0,服務業,離婚,高中,市話,805.0,3,93.040,47.2,頻繁
25.0,企業家,未知,博士,市話,34.0,12,93.354,-37.0,頻繁
28.0,未知,離婚,高中,市話,389.0,9,74.955,29.6,一次
67.0,經理,未知,國中,手機,915.0,1,88.948,4.2,偶爾
25.0,自僱人士,單身,博士,手機,739.0,12,62.600,18.4,偶爾
48.0,學生,單身,小學,手機,597.0,4,98.340,-3.2,從未
22.0,經理,離婚,大學,手機,210.0,1,96.570,-38.6,從未
22.0,經理,單身,高職,手機,132.0,8,69.660,12.2,頻繁
55.0,家管,離婚,小學,手機,733.0,11,61.960,26.4,頻繁
59.0,服務業,離婚,國中,市話,346.0,3,75.197,35.3,偶爾
30.0,自僱人士,已婚,專科,手機,447.0,3,71.438,-3.7,頻繁
67.0,退休,離婚,博士,手機,40.0,1,63.301,-33.9,從未
44.0,服務業,單身,國中,市話,738.0,8,87.370,-34.8,一次
65.0,未知,離婚,小學,手機,157.0,1,84.376,-25.8,一次
32.0,主管,已婚,國中,市話,494.0,3,60.231,26.3,偶爾
66.0,退休,已婚,高職,手機,74.0,12,74.086,5.5,從未
33.0,服務業,單身,大學,市話,810.0,12,68.319,-27.3,從未
23.0,學生,離婚,專科,市話,462.0,4,73.219,47.8,從未
64.0,未知,離婚,高中,市話,688.0,7,84.645,-17.0,頻繁
28.0,主管,已婚,專科,手機,225.0,6,80.125,-43.8,偶爾
33.0,技術員,離婚,高職,手機,279.0,7,76.148,33.2,一次
45.0,藍領,已婚,博士,手機,344.0,2,62.759,-26.6,偶爾
45.0,服務業,未知,國中,市話,326.0,9,84.580,-44.9,偶爾
26.0,學生,已婚,小學,手機,956.0,7,83.654,22.6,偶爾
21.0,退休,已婚,專科,市話,188.0,11,84.335,-16.5,從未
37.0,無業,已婚,專科,手機,795.0,8,88.462,25.4,一次
36.0,藍領,離婚,高職,手機,497.0,11,77.736,-13.7,偶爾
48.0,學生,未知,大學,手機,612.0,7,78.740,-6.0,一次
46.0,技術員,單身,小學,手機,197.0,8,60.984,22.2,從未
21.0,家管,已婚,專科,市話,657.0,9,69.553,40.2,偶爾
49.0,藍領,未知,高中,手機,399.0,6,82.935,3.3,從未
41.0,家管,已婚,高職,手機,775.0,5,65.178,49.4,偶爾
66.0,技術員,離婚,高中,手機,47.0,11,63.469,-36.2,偶爾
23.0,無業,離婚,小學,市話,706.0,4,70.055,31.3,偶爾
53.0,自僱人士,未知,大學,市話,578.0,6,78.565,13.1,偶爾
53.0,未知,單身,國中,市話,726.0,3,91.431,-4.9,從未
53.0,技術員,單身,專科,市話,514.0,10,65.856,-47.2,頻繁
36.0,自僱人士,離婚,專科,市話,994.0,3,84.396,29.6,頻繁
53.0,企業家,未知,專科,手機,130.0,4,88.815,-2.9,一次
30.0,家管,已婚,大學,手機,584.0,5,84.776,29.5,一次
52.0,企業家,單身,小學,市話,584.0,5,81.633,-29.4,從未
57.0,家管,單身,高職,手機,631.0,5,91.409,-25.5,偶爾
61.0,自僱人士,單身,大學,市話,247.0,11,62.891,2.5,偶爾
27.0,自僱人士,未知,國中,市話,520.0,4,83.467,2.7,從未
57.0,家管,離婚,國中,手機,448.0,5,67.432,28.7,從未
36.0,退休,未知,高職,手機,432.0,9,72.783,48.8,從未
69.0,企業家,已婚,國中,市話,619.0,10,96.226,0.1,從未
33.0,未知,單身,大學,市話,346.0,1,63.526,34.7,頻繁
52.0,服務業,單身,大學,手機,650.0,7,67.866,39.2,從未
49.0,主管,已婚,專科,市話,673.0,5,65.500,-8.4,頻繁
69.0,服務業,離婚,博士,市話,122.0,1,97.710,31.6,偶爾
49.0,藍領,未知,小學,手機,97.0,4,91.927,-40.1,偶爾
33.0,藍領,離婚,大學,手機,205.0,8,87.246,-8.8,從未
39.0,經理,離婚,大學,手機,29.0,7,72.510,23.3,頻繁
32.0,退休,未知,小學,市話,660.0,8,73.263,18.4,頻繁
58.0,退休,單身,專科,手機,564.0,6,78.250,-8.7,從未
44.0,退休,單身,高職,手機,323.0,6,90.861,46.9,頻繁
63.0,學生,單身,高職,手機,515.0,3,71.889,-14.4,從未
46.0,藍領,未知,大學,手機,255.0,2,93.615,42.6,一次
52.0,未知,單身,專科,市話,96.0,11,98.493,34.8,頻繁
39.0,自僱人士,離婚,小學,手機,55.0,3,66.687,-14.0,偶爾
47.0,服務業,未知,專科,手機,873.0,11,81.934,35.7,偶爾
60.0,退休,離婚,博士,手機,450.0,10,62.947,38.3,一次
60.0,經理,離婚,高中,市話,22.0,9,87.604,39.4,一次
67.0,企業家,單身,大學,手機,82.0,1,97.767,-6.8,一次
48.0,自僱人士,未知,專科,市話,829.0,6,98.140,30.4,偶爾
27.0,主管,未知,專科,手機,667.0,1,85.081,49.8,一次
41.0,家管,離婚,國中,手機,62.0,1,81.363,39.2,頻繁
56.0,主管,已婚,博士,手機,277.0,2,66.215,-16.4,從未
36.0,服務業,未知,高職,手機,634.0,7,77.716,4.2,一次
51.0,藍領,已婚,小學,市話,508.0,10,95.197,25.7,一次
52.0,藍領,單身,大學,手機,777.0,2,93.615,27.4,頻繁
63.0,無業,未知,專科,手機,280.0,5,91.664,2.3,偶爾
66.0,自僱人士,已婚,大學,手機,749.0,12,88.293,-26.1,從未
56.0,經理,已婚,小學,市話,706.0,10,87.599,16.0,偶爾
69.0,企業家,單身,高中,市話,171.0,12,61.456,5.7,一次
35.0,企業家,離婚,博士,市話,911.0,1,60.192,21.5,從未
38.0,企業家,未知,博士,手機,942.0,8,99.685,0.0,從未
29.0,學生,已婚,大學,市話,146.0,5,83.839,31.6,頻繁
37.0,藍領,離婚,專科,市話,442.0,7,78.824,-31.9,從未
61.0,技術員,已婚,大學,市話,961.0,8,64.114,-22.4,從未
52.0,學生,已婚,高中,市話,894.0,8,81.046,-1.6,從未
56.0,服務業,未知,國中,手機,754.0,6,70.542,7.1,頻繁
35.0,藍領,已婚,國中,手機,216.0,1,88.039,10.8,頻繁
30.0,無業,未知,小學,市話,483.0,2,88.760,-40.0,頻繁
48.0,無業,已婚,大學,市話,894.0,6,70.501,21.0,偶爾
24.0,退休,離婚,高中,市話,161.0,2,92.568,-19.8,一次
44.0,家管,未知,高中,市話,71.0,3,69.201,8.7,頻繁
22.0,經理,單身,高中,手機,338.0,1,89.207,-36.1,從未
26.0,服務業,未知,專科,市話,120.0,7,70.299,20.5,偶爾
52.0,自僱人士,離婚,小學,手機,244.0,3,74.694,-36.9,從未
66.0,企業家,離婚,國中,市話,730.0,3,78.954,-38.7,頻繁
37.0,主管,單身,大學,市話,981.0,12,98.153,-29.9,一次
38.0,企業家,已婚,博士,手機,293.0,5,67.751,-29.6,從未
24.0,無業,單身,小學,手機,875.0,8,83.763,37.6,從未
35.0,退休,未知,專科,手機,310.0,4,82.968,-7.9,偶爾
69.0,藍領,離婚,高職,手機,293.0,1,75.493,-3.6,頻繁
59.0,藍領,已婚,小學,手機,907.0,5,70.724,39.7,頻繁
51.0,無業,未知,博士,市話,923.0,6,73.329,45.3,偶爾
30.0,學生,離婚,專科,市話,641.0,12,80.592,-19.9,頻繁
20.0,退休,單身,專科,市話,111.0,12,90.851,-4.3,從未
34.0,學生,未知,小學,市話,180.0,8,96.151,8.4,頻繁
40.0,企業家,單身,博士,手機,647.0,8,74.058,-15.4,一次
35.0,經理,離婚,高中,手機,911.0,12,95.509,10.1,頻繁
52.0,服務業,已婚,高職,手機,76.0,9,82.215,42.6,偶爾
45.0,服務業,單身,博士,手機,278.0,1,81.015,-31.4,頻繁
67.0,企業家,單身,高職,市話,983.0,12,65.753,46.8,頻繁
21.0,藍領,離婚,高職,手機,753.0,9,82.772,-40.6,頻繁
27.0,自僱人士,未知,大學,市話,159.0,8,96.996,-42.9,偶爾
62.0,家管,離婚,博士,市話,227.0,10,97.504,-24.6,一次
23.0,家管,未知,大學,市話,224.0,6,70.584,42.9,一次
25.0,藍領,單身,國中,手機,288.0,9,80.513,-23.3,頻繁
59.0,家管,單身,高中,手機,767.0,2,76.251,-34.0,偶爾
66.0,企業家,已婚,博士,市話,242.0,1,87.465,2.5,頻繁
49.0,經理,單身,國中,市話,252.0,3,62.220,-21.8,頻繁
33.0,主管,離婚,小學,市話,85.0,3,93.677,-32.6,頻繁
68.0,學生,單身,大學,手機,291.0,8,88.458,-10.8,偶爾
50.0,主管,未知,大學,手機,671.0,4,66.072,4.4,從未
35.0,自僱人士,未知,專科,市話,898.0,11,91.782,28.6,偶爾
33.0,經理,單身,高中,手機,883.0,10,77.496,-26.4,頻繁
20.0,退休,已婚,小學,市話,209.0,8,96.163,-31.3,從未
43.0,自僱人士,離婚,高職,手機,490.0,4,60.542,12.3,偶爾
52.0,學生,未知,高職,手機,615.0,12,69.122,-36.8,從未
32.0,經理,未知,國中,市話,738.0,2,70.019,25.5,一次
54.0,學生,已婚,博士,手機,128.0,6,86.972,32.2,偶爾
64.0,技術員,未知,高職,手機,994.0,12,67.010,-29.7,偶爾
30.0,經理,單身,國中,手機,364.0,7,66.697,31.3,一次
31.0,退休,單身,高中,市話,869.0,6,85.880,43.5,頻繁
64.0,家管,離婚,國中,市話,493.0,12,79.770,-10.4,偶爾
22.0,經理,已婚,國中,市話,940.0,12,67.106,-31.7,一次
37.0,技術員,未知,高中,市話,792.0,8,73.358,7.4,頻繁
29.0,自僱人士,單身,高中,市話,978.0,2,67.559,-5.9,頻繁
66.0,家管,已婚,國中,市話,551.0,12,87.741,16.0,從未
36.0,學生,離婚,博士,市話,571.0,12,85.535,47.3,頻繁
42.0,自僱人士,已婚,小學,手機,206.0,6,96.653,42.7,偶爾
53.0,自僱人士,單身,高中,手機,973.0,2,75.767,34.0,從未
44.0,經理,離婚,高職,手機,347.0,9,61.634,-32.6,一次
47.0,技術員,離婚,小學,手機,866.0,3,70.931,28.3,一次
28.0,學生,單身,高中,市話,489.0,7,74.796,24.5,頻繁
42.0,企業家,離婚,國中,手機,528.0,9,67.177,31.7,從未
25.0,企業家,單身,小學,手機,666.0,2,69.922,7.1,從未
42.0,藍領,單身,高中,手機,858.0,8,84.466,-32.7,頻繁
48.0,技術員,單身,小學,市話,992.0,4,93.224,-15.2,偶爾
65.0,家管,未知,大學,市話,590.0,11,95.574,20.0,頻繁
56.0,學生,已婚,大學,市話,875.0,6,96.893,-4.6,偶爾
40.0,技術員,未知,國中,手機,179.0,1,84.191,48.2,從未
23.0,技術員,未知,專科,手機,812.0,4,65.728,33.5,一次
52.0,學生,未知,專科,市話,206.0,2,61.610,17.4,一次
51.0,未知,未知,高職,手機,881.0,11,95.391,10.6,一次
62.0,主管,離婚,博士,市話,114.0,6,97.811,3.5,頻繁
26.0,技術員,單身,國中,市話,369.0,4,96.401,9.4,從未
20.0,服務業,已婚,博士,市話,693.0,4,66.678,-45.8,偶爾
63.0,自僱人士,單身,博士,手機,440.0,4,77.818,23.7,從未
23.0,藍領,離婚,專科,手機,846.0,1,62.554,-1.1,一次
64.0,服務業,單身,國中,市話,783.0,4,66.224,-38.8,從未
46.0,主管,離婚,小學,手機,798.0,12,78.047,-49.9,頻繁
51.0,退休,單身,專科,手機,741.0,4,67.201,43.8,頻繁
54.0,經理,已婚,大學,手機,335.0,7,78.043,22.2,頻繁
63.0,服務業,未知,大學,手機,31.0,3,66.860,-31.0,一次
23.0,藍領,離婚,小學,手機,943.0,9,65.237,25.2,偶爾
45.0,未知,已婚,高職,手機,762.0,10,99.515,-9.4,從未
20.0,技術員,已婚,國中,手機,787.0,10,66.550,-3.4,頻繁
47.0,經理,離婚,高職,市話,835.0,9,94.296,13.0,偶爾
54.0,學生,已婚,高職,手機,443.0,5,61.712,-35.4,偶爾
67.0,經理,已婚,專科,市話,992.0,3,89.132,24.9,偶爾
50.0,未知,未知,高職,市話,239.0,7,64.724,-25.2,一次
45.0,未知,單身,國中,市話,191.0,1,76.247,-16.5,從未
40.0,無業,離婚,專科,手機,172.0,11,61.334,23.1,頻繁
43.0,藍領,已婚,高職,市話,509.0,7,81.182,-14.0,頻繁
62.0,技術員,未知,專科,市話,297.0,5,61.876,-20.2,一次
49.0,自僱人士,已婚,專科,市話,884.0,8,79.774,-3.6,頻繁
54.0,企業家,離婚,國中,市話,830.0,8,75.608,29.4,從未
41.0,技術員,單身,大學,市話,951.0,6,97.752,44.9,從未
30.0,未知,離婚,高職,市話,339.0,1,92.141,25.6,偶爾
63.0,自僱人士,未知,高職,市話,666.0,11,69.373,49.9,一次
66.0,經理,單身,博士,手機,868.0,9,95.606,41.4,頻繁
22.0,主管,未知,大學,市話,904.0,1,79.316,-21.5,一次
37.0,企業家,單身,高中,手機,98.0,11,61.271,-6.9,從未
60.0,藍領,離婚,博士,市話,437.0,7,60.801,11.0,偶爾
37.0,無業,已婚,專科,市話,383.0,1,81.568,14.7,一次
42.0,企業家,未知,博士,市話,184.0,5,88.375,13.1,偶爾
56.0,學生,未知,高職,市話,332.0,5,63.600,35.6,偶爾
52.0,服務業,單身,大學,市話,454.0,4,62.235,-29.7,一次
66.0,服務業,未知,專科,手機,876.0,10,83.508,-35.2,從未
45.0,學生,單身,高中,手機,132.0,3,99.285,-39.6,從未
55.0,企業家,已婚,大學,手機,766.0,3,80.641,-42.0,從未
52.0,無業,未知,高職,手機,564.0,7,91.855,39.3,偶爾
20.0,服務業,已婚,專科,市話,927.0,6,97.778,45.9,偶爾
54.0,未知,已婚,高中,手機,946.0,8,66.343,-3.4,偶爾
52.0,企業家,單身,國中,手機,612.0,11,70.043,48.8,頻繁
57.0,企業家,已婚,國中,手機,664.0,10,89.766,-4.1,一次
56.0,自僱人士,離婚,國中,市話,875.0,9,87.380,22.7,偶爾
29.0,家管,單身,高中,市話,556.0,3,61.666,-9.1,一次
32.0,自僱人士,已婚,博士,市話,784.0,5,72.084,41.6,偶爾
31.0,未知,未知,高職,手機,992.0,6,62.201,-0.2,一次
26.0,藍領,單身,專科,手機,624.0,8,97.919,-19.0,一次
30.0,服務業,離婚,大學,手機,289.0,8,65.028,-5.7,從未
31.0,服務業,已婚,大學,市話,403.0,12,80.633,-49.2,偶爾
23.0,經理,已婚,專科,市話,264.0,8,67.219,11.9,從未
39.0,服務業,單身,專科,手機,534.0,4,66.455,8.1,從未
25.0,企業家,離婚,高中,手機,147.0,3,69.758,43.2,從未
36.0,學生,已婚,大學,手機,515.0,12,86.454,-45.6,頻繁
22.0,服務業,未知,國中,手機,489.0,12,73.688,-49.3,偶爾
39.0,主管,未知,國中,市話,137.0,4,67.088,-22.0,從未
55.0,自僱人士,未知,高中,市話,166.0,1,61.954,13.3,從未
29.0,經理,未知,國中,市話,879.0,4,62.981,-4.2,頻繁
34.0,經理,未知,高職,手機,757.0,7,99.094,11.3,從未
26.0,服務業,離婚,國中,手機,663.0,7,84.987,-10.6,頻繁
29.0,企業家,單身,高職,市話,472.0,10,94.676,-15.6,頻繁
33.0,未知,已婚,高中,手機,24.0,9,88.155,36.9,頻繁
28.0,企業家,未知,博士,市話,144.0,3,76.780,-47.4,頻繁
52.0,退休,未知,高中,手機,224.0,5,79.662,40.2,從未
25.0,經理,未知,專科,手機,400.0,6,74.466,41.8,從未
34.0,退休,已婚,大學,市話,368.0,11,80.649,23.4,頻繁
20.0,經理,未知,博士,市話,928.0,10,99.508,31.8,一次
24.0,經理,離婚,國中,手機,417.0,11,88.633,-31.6,一次
47.0,經理,單身,高中,手機,187.0,8,84.433,44.1,一次
51.0,企業家,離婚,專科,市話,500.0,1,94.777,17.4,從未
20.0,主管,單身,大學,手機,585.0,10,73.748,28.7,一次
57.0,退休,單身,高中,市話,566.0,1,74.249,-45.4,一次
23.0,藍領,未知,專科,市話,414.0,7,86.324,33.6,頻繁
33.0,自僱人士,未知,國中,市話,326.0,8,85.606,9.3,一次
24.0,服務業,已婚,高中,市話,224.0,2,77.931,-45.7,一次
64.0,服務業,單身,國中,市話,501.0,4,89.264,-41.0,頻繁
39.0,經理,未知,國中,手機,992.0,6,73.409,-48.3,一次
64.0,經理,單身,大學,市話,644.0,7,84.279,49.0,一次
32.0,企業家,單身,小學,手機,73.0,8,87.909,-16.5,一次
37.0,退休,離婚,小學,市話,76.0,3,90.885,-37.6,一次
32.0,技術員,單身,國中,市話,554.0,11,66.656,49.1,頻繁
36.0,學生,離婚,專科,市話,820.0,6,93.278,22.4,一次
33.0,主管,單身,國中,市話,226.0,5,94.164,-12.5,偶爾
65.0,退休,未知,博士,市話,950.0,5,88.341,-9.3,頻繁
32.0,企業家,單身,大學,手機,386.0,11,78.630,47.5,一次
49.0,未知,已婚,博士,市話,212.0,11,82.327,-40.0,一次
48.0,無業,已婚,高職,市話,684.0,5,67.843,-35.2,一次
43.0,家管,離婚,高職,手機,155.0,8,65.642,27.3,頻繁
69.0,藍領,單身,高中,市話,967.0,4,72.654,19.0,偶爾
41.0,藍領,單身,小學,市話,785.0,10,77.861,-17.6,從未
40.0,退休,離婚,大學,手機,747.0,6,96.503,-13.0,偶爾
26.0,主管,離婚,專科,市話,992.0,6,79.038,-36.8,頻繁
22.0,學生,已婚,小學,手機,627.0,7,99.243,-3.0,從未
40.0,退休,單身,專科,市話,610.0,4,92.485,-25.0,一次
66.0,藍領,單身,高職,手機,631.0,2,65.462,-17.0,從未
27.0,企業家,離婚,高職,市話,878.0,8,87.795,-11.5,從未
22.0,自僱人士,未知,專科,市話,148.0,12,77.436,23.3,頻繁
65.0,企業家,離婚,小學,市話,911.0,4,95.538,40.2,偶爾
59.0,自僱人士,離婚,高職,市話,89.0,6,66.960,-18.2,從未
37.0,技術員,離婚,專科,市話,850.0,3,77.246,3.4,偶爾
65.0,自僱人士,已婚,小學,市話,885.0,2,65.607,-35.4,頻繁
54.0,家管,已婚,高職,手機,536.0,8,61.884,-10.5,從未
62.0,退休,未知,小學,市話,975.0,2,76.869,21.1,偶爾
37.0,家管,離婚,大學,市話,858.0,3,74.702,16.5,偶爾
47.0,主管,已婚,博士,手機,420.0,4,94.466,4.4,偶爾
30.0,企業家,未知,博士,手機,402.0,9,73.270,25.1,偶爾
35.0,經理,未知,小學,市話,406.0,7,67.472,9.7,從未
56.0,退休,單身,國中,手機,729.0,1,61.619,2.2,頻繁
48.0,服務業,離婚,博士,手機,528.0,6,74.400,25.9,從未
52.0,企業家,離婚,高中,市話,555.0,3,85.045,8.5,一次
61.0,服務業,離婚,大學,市話,385.0,1,64.890,-0.8,一次
32.0,自僱人士,單身,博士,市話,93.0,10,69.564,7.0,一次
28.0,自僱人士,離婚,國中,手機,405.0,3,99.951,-45.0,頻繁
47.0,服務業,未知,大學,手機,667.0,9,70.813,30.9,偶爾
59.0,自僱人士,未知,小學,市話,759.0,12,70.992,-18.4,從未
24.0,服務業,未知,國中,市話,283.0,11,72.833,33.9,偶爾
37.0,經理,已婚,大學,手機,606.0,1,96.155,23.9,頻繁
54.0,學生,未知,國中,市話,401.0,3,98.502,-21.1,偶爾
20.0,技術員,已婚,大學,市話,814.0,7,92.203,-21.9,偶爾
46.0,藍領,離婚,國中,手機,383.0,6,97.211,-18.7,偶爾
32.0,主管,未知,博士,市話,871.0,11,64.615,-49.8,頻繁
29.0,技術員,單身,高職,手機,807.0,11,73.617,36.2,偶爾
34.0,經理,離婚,博士,手機,855.0,5,71.373,27.8,頻繁
48.0,經理,未知,高中,市話,170.0,11,92.190,-16.4,偶爾
46.0,自僱人士,已婚,國中,手機,625.0,10,71.620,-0.4,頻繁
33.0,家管,已婚,國中,手機,447.0,9,88.887,-23.2,一次
37.0,技術員,已婚,專科,市話,176.0,10,63.951,14.6,一次
